result,white_player,black_player,white_elo,black_elo,timezone,start_time,end_time
tie,SCHMITZ874,Alessandro1066,451,475,UTC,04,04
loss,SCHMITZ874,nicolmartinez9612,413,370,UTC,22,22
loss,SCHMITZ874,jacquesboy,399,370,UTC,04,04
win,SCHMITZ874,vitaliyvolovyk,410,385,UTC,16,16
loss,SCHMITZ874,omkarn170811,399,427,UTC,16,16
win,SCHMITZ874,mistrema,429,444,UTC,19,19
win,SCHMITZ874,jry2,417,348,UTC,18,18
win,SCHMITZ874,jry2,422,330,UTC,18,18
loss,SCHMITZ874,SunTzuArtOfWar29,700,1016,UTC,21,21
loss,Thinagar17,SCHMITZ874,726,742,UTC,18,18
loss,RuzgarMayk1905,SCHMITZ874,797,744,UTC,20,20
loss,smenezes90,SCHMITZ874,763,727,UTC,22,22
loss,Krillacam43,SCHMITZ874,712,727,UTC,05,06
loss,RoiPlatane,SCHMITZ874,730,719,UTC,20,20
loss,Poberezhskaya,SCHMITZ874,690,710,UTC,20,20
loss,nicoc90,SCHMITZ874,668,692,UTC,01,01
win,BloodOnTheCanva,SCHMITZ874,688,684,UTC,22,22
loss,DSAhomeimprovement,SCHMITZ874,690,676,UTC,03,03
win,SjennyQ,SCHMITZ874,673,675,UTC,03,03
loss,Blakkt,SCHMITZ874,640,666,UTC,20,20
loss,doyu10,SCHMITZ874,681,658,UTC,20,20
win,faustino29,SCHMITZ874,657,666,UTC,20,20
win,PinkPoseidon,SCHMITZ874,677,666,UTC,20,20
win,ArunKumar45,SCHMITZ874,710,700,UTC,03,03
loss,jordan9649,SCHMITZ874,740,686,UTC,07,07
tie,szachydlazabawy,SCHMITZ874,670,686,UTC,07,07
win,LOOPx0,SCHMITZ874,669,694,UTC,18,19
loss,Kefa24,SCHMITZ874,695,688,UTC,21,21
win,mmorris34,SCHMITZ874,660,672,UTC,04,04
loss,DwnteSmoke,SCHMITZ874,719,665,UTC,07,08
win,darthplagueis10,SCHMITZ874,665,673,UTC,23,00
loss,MrMorrison404,SCHMITZ874,657,656,UTC,05,05
win,fhut2910m,SCHMITZ874,633,680,UTC,04,04
win,makeenma,SCHMITZ874,674,711,UTC,22,22
loss,kazvlogz,SCHMITZ874,757,713,UTC,03,03
loss,saraswaanand,SCHMITZ874,709,705,UTC,03,04
tie,Isuckatchess1966,SCHMITZ874,710,683,UTC,23,23
tie,Mdh247,SCHMITZ874,669,683,UTC,20,20
win,hooverl2,SCHMITZ874,682,698,UTC,21,21
loss,bomberguy52,SCHMITZ874,696,691,UTC,01,01
loss,marketaspect,SCHMITZ874,715,683,UTC,01,02
loss,BodybuilderC,SCHMITZ874,653,680,UTC,00,00
win,ViniBoy368,SCHMITZ874,695,689,UTC,04,05
tie,AkashSingh07,SCHMITZ874,672,689,UTC,05,05
win,Elrod26,SCHMITZ874,708,704,UTC,21,21
loss,ckarlos07,SCHMITZ874,706,696,UTC,21,21
loss,sofas103,SCHMITZ874,1392,414,UTC,01,01
win,sofas103,SCHMITZ874,1369,439,UTC,01,01
loss,sofas103,SCHMITZ874,1359,439,UTC,05,05
loss,sofas103,SCHMITZ874,1359,439,UTC,05,05
win,sofas103,SCHMITZ874,1343,488,UTC,05,05
win,Soffi56,SCHMITZ874,478,511,UTC,06,07
win,Kerketo,SCHMITZ874,708,704,UTC,21,21
loss,HariHaran18012002,SCHMITZ874,699,688,UTC,07,07
win,nisael0521,SCHMITZ874,476,531,UTC,08,08
win,mgautier0737,SCHMITZ874,630,680,UTC,04,04
win,molino123,SCHMITZ874,637,672,UTC,00,00
win,doodoohead420,SCHMITZ874,650,680,UTC,04,04
loss,JDautt,SCHMITZ874,729,673,UTC,00,01
win,ShrimpPasteTzy,SCHMITZ874,711,697,UTC,04,04
win,LTMurphy1,SCHMITZ874,660,704,UTC,05,05
win,Msalem22,SCHMITZ874,731,713,UTC,22,22
loss,cslpy,SCHMITZ874,729,705,UTC,23,23
win,captainkiwi101,SCHMITZ874,705,713,UTC,00,00
win,BoinasPretas,SCHMITZ874,741,722,UTC,23,00
win,Dalben,SCHMITZ874,756,748,UTC,08,08
win,Mans44,SCHMITZ874,779,757,UTC,23,23
win,bartekkd,SCHMITZ874,748,765,UTC,04,05
win,percabeth9,SCHMITZ874,756,781,UTC,05,05
loss,smallnutslargeballz,SCHMITZ874,762,750,UTC,22,22
win,adrianxito,SCHMITZ874,716,750,UTC,22,22
loss,foad1948,SCHMITZ874,764,742,UTC,23,23
tie,Sanderson24,SCHMITZ874,780,751,UTC,07,07
loss,PuppetMaster211,SCHMITZ874,791,744,UTC,07,07
win,hariyapurusoth,SCHMITZ874,345,412,UTC,16,16
win,camimoren,SCHMITZ874,483,547,UTC,23,23
tie,sfantuvoid,SCHMITZ874,507,554,UTC,23,23
loss,CamilAbishzade,SCHMITZ874,574,564,UTC,03,03
win,jaszczomp95,SCHMITZ874,544,572,UTC,07,07
loss,Calm_Almond,SCHMITZ874,595,564,UTC,07,07
win,MrAbizz,SCHMITZ874,548,572,UTC,07,07
win,SolemnMuzzle,SCHMITZ874,557,572,UTC,08,08
win,Manekimochi,SCHMITZ874,544,580,UTC,08,08
win,P003htb,SCHMITZ874,535,571,UTC,01,02
win,BolBolBol32,SCHMITZ874,548,579,UTC,00,00
win,amontesan,SCHMITZ874,618,588,UTC,00,00
loss,msrraj,SCHMITZ874,576,572,UTC,06,06
loss,AggressiveGumdrop,SCHMITZ874,591,572,UTC,01,01
loss,mishwen,SCHMITZ874,553,563,UTC,01,01
win,Aledrez17,SCHMITZ874,533,577,UTC,01,01
loss,Faysel21,SCHMITZ874,616,570,UTC,02,02
win,Gorrotxategui,SCHMITZ874,572,593,UTC,18,19
loss,lalit1311,SCHMITZ874,553,584,UTC,22,23
win,BishopKaran,SCHMITZ874,594,592,UTC,00,00
win,MajorZero,SCHMITZ874,589,608,UTC,09,09
win,1BestChessPlayerUSA,SCHMITZ874,550,622,UTC,20,20
win,CaptainRaviolini,SCHMITZ874,569,629,UTC,20,21
win,gabrielcl14,SCHMITZ874,618,637,UTC,22,22
win,alansilvaa,SCHMITZ874,604,642,UTC,17,18
loss,sebakpo,SCHMITZ874,405,381,UTC,23,00
win,GridironGrace421,SCHMITZ874,620,657,UTC,04,04
win,UsernameWasTaken45,SCHMITZ874,684,666,UTC,04,04
loss,JeffersonGeorge000,SCHMITZ874,660,665,UTC,02,03
win,Uzumakiram,SCHMITZ874,682,682,UTC,20,20
loss,timetraveler2799,SCHMITZ874,679,666,UTC,00,00
win,jerrysnyder,SCHMITZ874,671,667,UTC,04,05
win,cmahoneymusic,SCHMITZ874,676,684,UTC,05,05
loss,AdityaLimpo,SCHMITZ874,687,676,UTC,03,03
win,wizardofwise1,SCHMITZ874,444,503,UTC,22,22
win,gianni033,SCHMITZ874,487,511,UTC,22,22
tie,skrishna1237777,SCHMITZ874,486,510,UTC,05,06
loss,vedbisne,SCHMITZ874,489,509,UTC,07,07
